"L&S","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","89","3.274","32.6","24.7","23.6","5.6","5.6","3.4","1.1","3.4",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","373","2.688","16.9","11.5","18.5","17.7","16.6","7.0","4.0","7.2","0.5",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","30","3.607","46.7","23.3","20.0","3.3",".",".",".","3.3",".",".",".",".","3.3",".",".","."
"African Lit in Translation","300
001","23","3.065","26.1","17.4","30.4","13.0","4.3","8.7",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","322
001","11","3.256","36.4","18.2","9.1","9.1",".","9.1",".","18.2",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","324
001","6","3.333","33.3","16.7","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Swahili","332
001","22","3.600","59.1","18.2","9.1","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","8","3.917","62.5","12.5",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Second Semester Hausa","362
001","6","3.821","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Yoruba","372
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","16","3.610","50.0","18.8","25.0",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Rd","436
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Traditional African Lit","902
001","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","8","",".",".",".",".",".",".",".","75.0",".",".",".",".",".",".","25.0","."
"Indep Reading & Research","999
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"AFRICAN
104","Dept. Total","618","3.017","26.9","14.7","18.8","13.1","11.0","5.2","2.6","7.0","0.3",".",".",".","0.2",".","0.3","."
