"JOURN AND MASS COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","419","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"699","475","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","646","","105","3.313","13.3","48.6","28.6","5.7","1.9","1.0",".","1.0",".",".",".",".",".",".",".","."
"699","994","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","159","3.595","35.2","35.8","19.5","4.4","1.3","0.6","0.6","0.6",".",".",".",".","1.9",".",".","."
"800
Adv Mass Media Practice","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"805
Smr-Communicatn Rsch Method","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
History of Mass Communication","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Political Communication","001","","14","3.962","85.7","7.1",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"830
Internatnl/Develpmnt Commun","001","","12","3.625","58.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"849
Mass Communicatn&Individual","001","","10","3.722","40.0","50.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"880
Topics in Mass Communication","035","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Colloquium:Mass Communicatn","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","093","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Thesis","Course Total","","29","",".",".",".",".",".",".",".","96.6",".",".",".","3.4",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research Prob","Course Total","","5","***","","","","","","","","","","","","","","","",""
