"","990
031","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
053","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","16","",".",".",".",".",".",".",".","93.8","6.3",".",".",".","",".",".",".","."
"Advanced Independent Study","999
053","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"I SY E
490","Dept. Total","912","3.589","50.9","23.2","11.3","4.3","2.0","0.5","0.3","6.3","0.1","0.8",".","0.1","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","50","3.381","60.0","16.0","12.0","4.0","4.0","2.0","2.0",".",".",".",".",".","",".",".",".","."
"Junior","","122","3.398","40.2","29.5","19.7","7.4","1.6","0.8","0.8",".",".",".",".",".","",".",".",".","."
"Senior","","395","3.616","55.7","27.1","8.9","4.1","2.5","0.8","0.3","0.5",".","0.3",".",".","",".",".",".","."
"Undergraduates","","581","3.556","53.5","26.3","11.2","4.6","2.4","0.9","0.5","0.3",".","0.2",".",".","",".",".",".","."
"Special","","7","3.286","42.9",".","28.6","28.6",".",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","318","3.658","45.6","18.2","11.3","3.1","1.3",".",".","17.3","0.3","1.9",".","0.3","",".",".","0.6","."
"Prof Yr 4","","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"","Dept. Total","912","3.589","50.9","23.2","11.3","4.3","2.0","0.5","0.3","6.3","0.1","0.8",".","0.1","",".",".","0.2","."
