"","999
068","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
069","1","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
203","2","***","","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Reading","Course Total","29","4.000","69.0",".",".","",".",".","",".","",".",".","",".",".","",".",".","31.0",".",".","."
"ELPA
305","Dept. Total","565","3.893","69.2","11.3","2.1","",".","0.4","",".","",".","9.9","",".",".","",".","3.0","3.7","0.4",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","22","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","4","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","","6","3.679","50.0","50.0",".","",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","32","3.864","87.5","12.5",".","",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","20","3.974","95.0","5.0",".","",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","514","3.891","66.9","11.5","2.3","",".","0.4","",".","",".","10.9","",".","0.2","",".","3.3","4.1","0.4",".","."
"","Dept. Total","566","3.893","69.1","11.3","2.1","",".","0.4","",".","",".","9.9","",".","0.2","",".","3.0","3.7","0.4",".","."
