"ART HISTORY","Section","#","","Ave","A","AB","B","BC","C","D","F","S/SD U/UD","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","",""
"799","029","","4","***","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","",".",".",".",".",".",".","."
"799","041","","3","***","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","050","","1","***","","","","","","","","",".",".",".",".",".",".","."
"799","055","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","4.000","95.8",".",".",".",".",".",".","4.2
.",".",".",".",".",".",".","."
"800","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"800","002","","1","***","","","","","","","","",".",".",".",".",".",".","."
"800","003","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Smr:Spec Topics-Art History","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".  
.",".",".",".",".",".",".","."
"801
Hist,Thry &Meth in Visual Cult","001","","8","4.000","100.0",".",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"815
Seminar-Medieval Art","001","","7","3.929","85.7","14.3",".",".",".",".",".",".   
.",".",".",".",".",".",".","."
"876
Seminar in Chinese Art","001","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","002","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","",".",".",".",".",".",".","."
"990","035","","6","",".",".",".",".",".",".",".","100.0
.",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","23","",".",".",".",".",".",".",".","69.6
.",".",".","30.4",".",".",".","."
