"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
047","16","3.633","56.3","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"","048
100","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
049","13","3.308","15.4","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
050","14","3.214","7.1","50.0","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"","100
051","12","3.042","16.7","8.3","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
052","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
053","13","2.962","7.7","23.1","30.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","751","3.208","14.1","33.8","36.9","10.8","3.6","0.3","0.3",".",".",".",".",".",".","0.3",".","."
"","105
001","16","3.281","18.8","43.8","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","105
002","12","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
003","14","3.357","21.4","50.0","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","004
105","15","2.933","13.3","13.3","40.0","26.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"","105
005","17","3.324","17.6","35.3","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","105
006","14","3.250","28.6","21.4","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","105
007","15","3.567","26.7","60.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
105","14","2.929",".","50.0","28.6","7.1",".","14.3",".",".",".",".",".",".",".",".",".","."
"","009
105","15","3.786","73.3","13.3",".",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","010
105","16","3.250","6.3","50.0","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","011
105","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
012","15","3.000","20.0","20.0","20.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"","105
013","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
014","19","3.316","15.8","52.6","21.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","105
015","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","016
105","16","2.938","18.8","18.8","43.8","6.3",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","105
017","13","3.154","15.4","23.1","46.2","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","105
018","10","3.450","40.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"","019
105","16","2.969","6.3","25.0","56.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","105
020","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","105
021","13","3.000","7.7","23.1","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".","."
"","105
022","9","3.111",".","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","023
105","14","2.679","14.3","7.1","28.6","28.6","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"","105
024","12","3.208","16.7","41.7","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","338","3.273","24.3","34.3","26.0","8.3","4.1","2.1","0.6","0.3",".",".",".",".",".",".",".","."
"Elements of Speech-Honors","181
001","8","3.625","87.5",".",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Radio,TV&Film as Mass Media","250
001","227","2.942","9.3","25.1","33.5","17.2","11.5","1.8","1.3",".",".",".",".",".","0.4",".",".","."
"Communication & Human Behav","260
001","130","2.735","13.1","20.0","27.7","11.5","16.2","6.9","4.6",".",".",".",".",".",".",".",".","."
"","262
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
002","17","3.794","70.6","17.6","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Argument&Debate","Course Total","34","3.794","67.6","23.5","8.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Pract-Group Discussion","266
001","334","3.509","27.8","54.8","12.3","3.6",".","0.9","0.3","0.3",".",".",".",".",".",".",".","."
"Introduction to Film","350
001","172","2.711","4.1","18.6","29.7","23.8","15.1","4.7","1.7","1.7",".",".",".",".",".","0.6",".","."
"Introduction to Television","351
001","178","3.113","7.9","29.8","45.5","11.8","3.9",".","0.6","0.6",".",".",".",".",".",".",".","."
"Hist of the Motion Picture","352
001","84","2.982","8.3","23.8","40.5","15.5","8.3","1.2","1.2","1.2",".",".",".",".",".",".",".","."
