"EDUCATIONAL PSYCHOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","","",""
"","301","001","158","3.360","42.4","21.5","17.7","10.8","3.8","1.3","1.9","0.6",".",".",".",".",".",".",".","."
"","301","002","67","3.619","53.7","29.9","11.9","1.5","1.5",".","1.5",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","","Course Total","225","3.438","45.8","24.0","16.0","8.0","3.1","0.9","1.8","0.4",".",".",".",".",".",".",".","."
"","320","001","195","3.220","36.4","13.8","22.6","16.4","8.2","2.6",".",".",".",".",".",".",".",".",".","."
"","320","002","118","3.124","16.9","28.0","28.0","16.1","11.0",".",".",".",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","","Course Total","313","3.183","29.1","19.2","24.6","16.3","9.3","1.6",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321","001","138","3.105","34.1","6.5","32.6","6.5","18.1","2.2",".",".",".",".",".",".",".",".",".","."
"Hum Devel Chldhood-Adolescn","331","001","56","3.645","48.2","35.7","8.9","5.4",".",".",".",".",".",".",".",".",".","1.8",".","."
"Smr-Research in Ed Psych","509","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolscnt Develp-Educ Contxt","521","001","77","3.805","68.8","26.0","3.9",".","1.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found of Ed Measurement","570","001","26","3.673","53.8","26.9","19.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ind Reading-Undergrad","","Course Total","14","3.882","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Ed Psych","711","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solving,Thnkg&Creatvty","714","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adolescent Development","721","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725","001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760","001","31","3.650","41.9","45.2","6.5","3.2",".",".",".","3.2",".",".",".",".",".",".",".","."
"","760","002","48","3.638","50.0","27.1","18.8","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"Stat Meth Appl to Educ I","","Course Total","79","3.643","46.8","34.2","13.9","2.5",".",".",".","1.3",".",".",".",".","1.3",".",".","."
"Intro: Dsgn-Ed Experiments","762","001","11","3.455","45.5",".","54.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","840","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal & Design-Ed Rsch","861","001","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Multivariate Analysis","862","001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Child Development","920","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Intervention Techniques","946","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in School Psychology","948","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Measuremnt & Evaluation","972","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 96 of 370"
