"PhD Thesis-Accounting","Course Total","5","***","","","","","","","","","","","","","","","","","","",""
"","999
027","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
085","1","***","","","","","","","","","",".",".","",".","",".","",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","2","***","","","","","","","","","","","","","","","","","","",""
"ACCT I S
232","Dept. Total","2139","3.040","23.2","17.8","31.4","8.7","14.9","2.8","0.9","0.2","0.1",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","1.900",".","20.0","20.0",".","20.0","20.0","20.0",".",".",".","",".","",".","",".",".",".","."
"Sophomore","","328","2.841","22.0","10.4","29.0","9.1","22.3","5.8","1.5",".",".",".","",".","",".","",".",".",".","."
"Junior","","666","2.915","20.0","12.5","33.9","9.5","19.4","3.9","0.9",".",".",".","",".","",".","",".",".",".","."
"Senior","","773","3.043","18.5","22.3","32.2","10.2","13.8","1.8","0.9","0.3",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1772","2.955","19.6","16.4","32.2","9.7","17.5","3.4","1.1","0.1",".",".","",".","",".","",".",".",".","."
"Special","","36","3.224","25.0","25.0","30.6","11.1","8.3",".",".",".",".",".","",".","",".","",".",".",".","."
"Graduate","","320","3.522","42.2","25.0","26.9","3.1","1.3",".",".","0.9","0.6",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","10","3.333","40.0","20.0","30.0",".","10.0",".",".",".",".",".","",".","",".","",".",".",".","."
"Professionals","","11","3.300","36.4","18.2","36.4",".","9.1",".",".",".",".",".","",".","",".","",".",".",".","."
"","Dept. Total","2139","3.040","23.2","17.8","31.4","8.7","14.9","2.8","0.9","0.2","0.1",".","",".","",".","",".",".",".","."
